 SRR11617503	SRR11617504	SRR11617505	SRR11617506	SRR11617507	SRR11617508	SRR11617513	SRR11617514	SRR11617519	SRR11617520	SRR11617523	SRR11617524	SRR11617526	SRR11617527	SRR11617528
scig1.0060905	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
scig1.0019516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0044416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0015117	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0
scig1.0013820	3	2	4	4	3	3	2	5	2	0	9	6	8	11	4
scig1.0013814	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0029483	209	58	84	55	89	50	110	40	145	129	145	128	144	113	117
scig1.0013803	13	6	2	5	21	26	15	36	14	21	45	52	33	41	15
scig1.0013800	99	60	22	11	170	125	14	115	29	29	27	29	53	100	15
scig1.0030773	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
scig1.0013778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013776	3396	1036	672	311	555	602	172	230	115	224	138	110	205	250	532
scig1.0013768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0065683	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0013765	109	62	77	57	170	144	112	110	89	154	251	154	113	176	144
scig1.0013764	14	11	11	4	1	10	3	0	6	0	15	10	6	9	0
scig1.0013754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0000975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013751	2	1	1	1	5	7	1	5	0	6	5	2	4	3	7
scig1.0013744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000739	0	0	4	1	0	1	0	1	0	0	0	0	1	0	0
scig1.0067182	0	1	3	1	0	0	0	0	0	0	0	0	0	0	3
scig1.0013728	1	0	0	1	0	0	0	0	0	0	0	1	0	0	4
scig1.0024460	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
scig1.0013722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0038578	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0
scig1.0013712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0027441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0058420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013708	217	114	116	84	133	115	85	117	118	117	118	102	127	249	110
scig1.0044844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0037375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013707	2	1	1	1	0	1	1	1	0	3	4	3	6	3	10
scig1.0013705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013690	1	1	1	0	1	2	2	0	1	2	0	0	0	0	1
scig1.0013681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013657	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0013656	29	4	13	8	4	1	9	4	32	15	6	8	21	22	4
scig1.0013653	1190	439	581	366	695	720	352	464	490	320	501	423	492	696	426
scig1.0013651	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0013650	1607	220	284	62	262	241	371	298	315	354	582	537	376	492	261
scig1.0061418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013640	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
scig1.0013634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
scig1.0031528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013611	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013602	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0
scig1.0013599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013588	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0
scig1.0013584	2	0	1	3	1	2	3	1	1	0	6	3	4	2	10
scig1.0013567	1	1	0	4	0	0	0	0	1	0	0	1	2	2	0
scig1.0021676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013560	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0069521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013554	1	1	7	5	0	0	12	0	0	4	0	0	0	0	2
scig1.0013552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067781	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1
scig1.0013549	308	327	76	52	14	111	2	9	3	5	1	1	0	2	35
scig1.0046993	5	1	0	0	12	0	8	1	1	8	9	1	2	2	1
scig1.0013533	0	0	0	0	0	4	2	0	0	7	0	0	0	4	0
scig1.0013526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013525	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0
scig1.0013522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013503	138	58	29	42	146	74	78	64	81	72	115	101	73	69	57
scig1.0047941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013483	201	81	239	101	222	161	43	103	59	56	24	25	44	55	157
scig1.0013478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013454	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0
scig1.0013450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013449	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0
scig1.0013445	296	82	117	56	220	143	182	92	108	136	135	89	154	183	80
scig1.0045083	1	0	0	0	0	2	0	0	0	2	0	0	0	1	0
scig1.0013432	11	5	0	0	1	0	3	2	5	4	0	2	4	14	7
scig1.0001318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0049802	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0013414	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0013410	86	20	13	5	28	43	109	33	85	144	130	68	66	97	114
scig1.0013404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013393	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013374	4	0	7	0	1	1	3	3	1	1	3	0	0	0	1
scig1.0013553	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1
scig1.0013356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013350	285	60	65	41	88	80	47	61	112	77	74	96	108	106	86
scig1.0013348	220	96	104	72	277	154	130	129	150	162	169	143	237	271	56
scig1.0013331	791	247	211	113	16	120	21	9	8	6	3	10	0	1	308
scig1.0008726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0046674	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
scig1.0013323	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
scig1.0074729	6	0	1	3	13	5	1	1	1	4	3	5	0	6	0
scig1.0013298	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
scig1.0013292	0	1	0	0	14	22	0	5	0	0	0	0	0	0	0
scig1.0013271	0	0	0	1	0	0	2	0	0	3	0	2	0	0	0
scig1.0013252	434	117	132	71	160	145	82	76	92	87	168	138	142	207	79
scig1.0013224	8	2	3	0	1	1	0	2	2	0	6	4	2	5	3
scig1.0064643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013210	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0013206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013195	0	0	0	4	6	3	12	4	2	4	10	7	2	4	24
scig1.0013190	2	2	0	1	0	0	2	7	1	3	2	0	2	1	3
scig1.0026356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013161	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
scig1.0074477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0056972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013148	20	20	10	27	33	25	21	22	32	35	15	11	27	31	32
scig1.0013147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013131	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0
scig1.0031410	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0
scig1.0013119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
scig1.0013070	13	0	8	0	6	0	1	3	0	4	1	2	2	4	5
scig1.0013053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013044	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
scig1.0036433	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0053056	3	1	1	0	1	2	1	5	0	4	3	2	1	1	2
scig1.0013014	7	2	0	0	3	1	0	0	1	1	2	3	1	0	0
scig1.0013003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0013362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012956	968	315	163	68	56	157	11	46	6	7	5	5	2	3	25
scig1.0005438	1303	711	127	87	74	155	4	33	19	3	0	0	1	1	81
scig1.0012950	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
scig1.0012935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
scig1.0012930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0029300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012929	0	0	1	0	1	0	0	1	2	1	3	4	3	3	4
scig1.0012905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012883	1	1	0	0	0	0	0	1	0	3	2	0	0	5	0
scig1.0012864	67	18	15	8	38	39	14	33	48	40	29	33	25	37	16
scig1.0038005	19	3	15	3	20	10	9	15	8	12	9	19	6	26	29
scig1.9000893	7	1	6	2	6	8	6	4	1	6	5	3	4	2	9
scig1.0012863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022304	544	245	213	249	627	539	524	489	788	893	931	1029	1177	1953	191
scig1.0012842	2	0	1	0	2	2	1	0	1	1	1	0	3	2	0
scig1.0005691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0010978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012815	382	108	113	75	113	93	59	69	116	86	99	58	96	164	120
scig1.0021349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0034018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0004165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0054828	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
scig1.0012805	1	0	2	0	0	0	0	0	2	0	0	4	0	1	0
scig1.0012789	29	3	2	4	10	11	15	10	12	15	10	3	5	14	25
scig1.0012773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081405	5	2	3	0	0	3	0	3	1	5	4	0	1	8	0
scig1.0012751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0031802	19	16	12	5	24	16	14	20	20	19	17	50	31	48	18
scig1.0012745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081434	361	388	187	170	784	710	441	606	786	685	636	718	823	1127	114
scig1.0012744	459	185	264	244	898	1420	294	1007	496	589	521	592	367	690	400
scig1.0012722	1	0	2	1	1	0	0	0	0	0	0	0	0	2	0
scig1.0051377	16	15	28	25	23	37	78	30	21	70	62	54	27	75	192
scig1.0012701	1762	618	408	257	447	485	460	269	474	497	550	589	420	539	471
scig1.0012696	194	57	46	47	92	54	58	76	105	111	88	91	65	130	78
scig1.0012681	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0012653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012623	14	0	7	0	39	19	5	4	1	6	4	10	4	0	4
scig1.0012608	0	1	5	7	1	0	0	1	1	8	0	1	0	0	286
scig1.0012605	3	1	0	0	0	0	1	1	5	1	1	0	1	1	1
scig1.0079424	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
scig1.0012596	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
scig1.0059417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012585	441	139	247	102	244	240	134	129	228	207	238	214	315	409	127
scig1.0019874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012553	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
scig1.0012536	19	3	14	10	14	6	8	7	11	4	8	10	13	15	45
scig1.0012534	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081425	0	0	0	0	5	1	0	0	0	0	0	1	1	0	5
scig1.0012517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0034271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0012506	268	20	101	25	283	19	15	37	9	5	13	4	15	11	938
scig1.0082017	9	11	3	8	8	3	15	9	13	9	2	7	5	10	141
scig1.0012503	5	2	4	3	6	6	4	9	27	21	15	20	19	24	1
scig1.0045286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012492	1	0	0	1	2	0	1	0	3	0	2	1	6	8	0
scig1.0061907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0055288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012487	122	51	44	24	75	76	108	57	137	229	126	150	110	103	34
scig1.0012479	1	1	4	1	1	0	3	1	4	3	3	11	3	5	14
scig1.0012470	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076891	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5
scig1.0062589	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1
scig1.0012463	5	0	1	0	1	0	0	1	0	5	3	4	1	0	0
scig1.0012458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001148	2	2	0	0	6	6	0	6	2	3	18	14	3	3	3
scig1.0012451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0046180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064408	617	326	448	355	398	267	165	440	360	304	243	309	276	488	202
scig1.0050377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0054702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012446	1703	604	759	433	1036	865	485	533	530	590	741	710	615	940	421
scig1.0012438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0017818	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0054788	12	8	4	3	2	2	2	1	5	1	3	8	27	9	0
scig1.0012429	1	1	0	0	71	51	4	1	9	2	12	16	14	10	6
scig1.0064590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012407	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
scig1.0054163	3	1	1	1	2	1	2	0	0	1	6	1	6	2	1
scig1.0012395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000822	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0
scig1.0012389	2	0	2	0	0	0	0	0	3	2	0	0	0	1	2
scig1.0012383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012381	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0081791	33	11	5	22	216	170	28	101	57	57	181	191	158	196	134
scig1.0012360	199	22	65	22	14	3	25	13	22	32	6	18	3	6	85
scig1.0012335	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
scig1.0012334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012326	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0
scig1.0057682	3	2	6	2	6	6	1	3	2	6	4	4	0	0	4
scig1.0012292	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012288	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0
scig1.0012283	40045	9427	15128	7982	7478	6012	4390	10933	11755	12021	3822	2991	5129	10395	33819
scig1.0012274	462	184	258	112	306	279	147	144	196	176	242	197	233	320	200
scig1.0012241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012222	114	64	51	33	161	101	62	139	155	104	108	147	120	138	103
scig1.0012215	0	0	0	1	1	3	0	0	3	0	0	0	0	0	0
scig1.0024216	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1
scig1.0012213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012188	150	63	54	64	117	116	104	58	123	212	161	198	101	141	139
scig1.0012184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0002599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012167	1123	370	567	291	612	533	278	349	532	358	555	458	525	765	673
scig1.9001815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0004934	1	0	0	0	0	1	0	0	0	0	1	0	0	3	0
scig1.0026724	225	106	124	133	196	164	240	125	228	220	230	340	246	276	161
scig1.0012136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0005627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077501	371	129	179	93	153	145	146	145	173	155	149	127	114	181	166
scig1.0012131	10	3	2	0	1	2	3	2	6	9	2	11	1	6	2
scig1.0012121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012096	47	46	53	26	97	58	35	56	39	37	58	51	53	71	38
scig1.0035520	1	0	0	0	2	0	0	0	0	0	4	0	0	1	0
scig1.0012091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012063	2	0	0	0	2	0	2	0	0	0	0	0	0	0	1
scig1.0029496	2	0	0	0	0	2	1	0	0	0	4	7	2	1	0
scig1.0012060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012050	3	0	0	1	0	4	0	0	0	4	0	3	1	2	2
scig1.0012048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0012031	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
scig1.0039147	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0012030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011998	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070627	7	3	0	0	0	1	0	1	1	1	7	0	1	0	2
scig1.0065718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011973	33	14	8	8	39	34	11	23	7	14	10	14	10	15	12
scig1.0031082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011952	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0057062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011930	23	25	14	6	21	8	10	12	5	18	10	11	17	15	14
scig1.0011928	10	2	7	1	3	4	8	6	1	9	5	3	3	5	5
scig1.0011922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011917	1	0	3	0	1	4	0	0	0	0	0	0	0	0	0
scig1.0056653	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011913	471	219	65	45	51	53	7	21	9	5	10	7	17	13	25
scig1.0011909	0	0	0	0	5	0	2	1	1	2	6	12	7	4	6
scig1.0011895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011882	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
scig1.0011875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011873	0	0	0	1	7	0	1	0	3	3	0	2	5	0	2
scig1.0011864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011810	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0
scig1.0011799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0066421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011780	3	1	1	1	2	0	1	0	2	1	3	2	3	7	6
scig1.0011754	135	71	67	80	273	212	130	136	159	158	592	308	223	403	306
scig1.0031562	490	222	239	178	552	566	544	324	527	757	732	690	496	814	869
scig1.0011744	121	71	104	65	113	81	76	71	60	62	166	119	110	139	77
scig1.0011732	258	164	67	29	24	54	2	3	1	8	6	3	0	0	20
scig1.0081474	1	0	0	0	2	0	0	0	0	2	0	2	0	0	0
scig1.0039656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021196	7	14	2	4	2	80	0	1	9	9	57	75	25	48	43
scig1.0011724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011681	487	137	179	70	188	165	134	124	141	126	152	140	180	246	420
scig1.0011676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011673	5560	3055	2898	1915	11098	7900	2044	6230	2747	1887	2591	2130	1837	1249	2045
scig1.0011667	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0011645	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0011638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001065	0	0	0	0	1	0	0	0	3	0	0	0	0	3	2
scig1.0011615	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
scig1.0011603	13	2	2	0	0	0	0	1	0	0	0	1	0	0	4
scig1.0011602	5	0	5	2	0	2	9	0	4	17	0	6	7	19	1
scig1.0026042	5	1	3	0	0	2	0	0	0	0	4	0	0	0	2
scig1.0011600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0039153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011582	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011581	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0
scig1.0011577	0	0	0	0	0	8	0	6	0	0	0	0	4	0	0
scig1.0047598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011565	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0
scig1.0011562	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2
scig1.0011560	8	2	1	1	0	0	0	1	0	1	0	0	0	0	5
scig1.0011552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011534	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0
scig1.0011532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0045840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011527	0	0	1	0	0	0	0	0	0	1	0	3	2	0	0
scig1.0014635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011524	2	2	2	0	8	3	0	9	4	3	1	4	12	18	0
scig1.0052620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0011512	3	1	4	2	0	0	1	0	0	4	4	5	2	5	22
scig1.0011511	11	1	1	0	6	3	0	0	0	0	0	0	0	0	5
scig1.0011497	325	67	62	18	123	68	34	43	37	29	106	77	68	97	43
scig1.0011483	6	1	5	1	3	2	3	0	2	0	3	0	1	1	1
scig1.0011474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
