 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.0026807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026802	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
scig1.0026787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026773	7	0	6	4	0	7	4	0	5	0	0	4	5	3	0
scig1.0026760	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0026745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026725	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0026696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026634	13	14	12	45	22	80	19	20	33	19	21	12	15	13	16
scig1.0026617	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0
scig1.0026612	1	2	0	2	0	2	0	1	1	0	0	1	1	0	1
scig1.0026582	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026513	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
scig1.0026500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026480	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0026445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026418	1	1	0	2	0	2	1	0	1	4	0	3	1	1	2
scig1.0078130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0046762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026378	34	10	11	52	27	98	50	45	74	28	15	38	34	7	16
scig1.0026361	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
scig1.0026296	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0026193	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0026141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076012	0	0	0	0	0	1	0	1	0	3	0	0	0	1	0
scig1.0026139	5	0	5	13	6	54	10	13	8	20	5	38	25	13	7
scig1.0026131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026091	0	0	0	1	1	5	0	0	0	2	0	3	2	1	1
scig1.0026079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026041	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
scig1.0026039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0026016	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0025986	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0025978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0037170	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
scig1.0025935	2	3	0	4	1	3	2	3	0	3	2	0	1	4	2
scig1.9001823	2	1	0	15	4	12	1	1	2	2	3	2	3	4	0
scig1.0025924	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0025922	10	13	0	16	7	23	6	14	10	8	5	10	4	2	1
scig1.0025912	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0025904	10	0	1	8	5	8	3	4	6	5	1	3	2	0	4
scig1.0025903	22	26	6	20	18	16	19	21	30	20	22	23	9	4	8
scig1.0025867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025846	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
scig1.0025819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0057404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025806	2	1	0	1	0	0	3	1	3	1	1	4	0	1	1
scig1.0025802	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
scig1.0025797	974	198	132	505	372	1152	469	380	452	599	199	337	448	224	395
scig1.0013595	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
scig1.0025780	0	0	0	1	1	4	0	1	1	0	0	0	0	0	0
scig1.0025774	82	8	25	105	18	261	65	36	102	70	15	59	80	32	67
scig1.0025759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025756	110	9	86	859	56	1382	523	29	1116	213	12	242	158	66	126
scig1.0025750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025749	8	4	2	7	6	5	5	5	6	2	8	5	1	1	0
scig1.0025707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025703	115	23	31	67	22	106	15	9	28	68	17	108	41	26	60
scig1.0025692	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0
scig1.0025683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025662	134	171	64	719	247	1457	280	219	475	250	287	280	168	149	129
scig1.0025660	21	16	13	69	40	139	17	31	51	29	14	26	26	22	16
scig1.0025650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025598	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
scig1.0025594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025528	5	0	0	12	3	27	11	1	3	0	5	1	5	0	4
scig1.0025521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025520	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
scig1.0025518	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025453	2	0	0	1	0	0	0	3	0	0	2	0	0	0	0
scig1.0025446	310	16	1071	287	161	1473	135	111	652	483	120	2824	317	240	621
scig1.0032670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025422	1	0	0	0	0	1	0	1	1	0	0	3	0	0	0
scig1.0025391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025369	0	0	0	0	2	5	4	0	5	1	0	1	1	1	0
scig1.0025357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025339	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0024444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025318	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0025314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0040496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025267	8	15	0	30	26	45	31	40	37	15	12	14	9	5	9
scig1.0025265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0002163	0	0	0	4	1	13	3	0	4	3	0	1	0	0	2
scig1.0025247	4	2	1	77	93	134	48	83	81	45	136	62	31	28	19
scig1.0025204	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0
scig1.0025187	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
scig1.0025152	7	8	3	12	5	18	5	9	10	2	2	4	3	4	3
scig1.0025150	1	0	0	11	0	27	4	0	3	1	0	0	0	0	2
scig1.0025145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0025106	0	0	0	4	0	4	0	0	1	7	1	9	2	1	1
scig1.0025088	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
scig1.0025064	0	0	0	0	1	1	1	0	1	0	0	2	0	0	0
scig1.0025059	4	5	2	9	8	12	5	10	2	1	7	4	4	1	1
scig1.0024983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024961	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0
scig1.0024937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024894	4	1	2	3	3	2	1	0	0	1	0	1	0	0	0
scig1.0074455	0	0	0	2	0	2	1	1	7	0	0	1	2	0	4
scig1.0024889	0	0	1	3	0	2	0	0	0	1	1	2	0	0	0
scig1.0024867	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0
scig1.0024856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024846	2	2	1	3	2	5	1	10	3	5	4	0	2	2	2
scig1.0024841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024823	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0
scig1.0024805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024774	84	49	26	214	89	558	63	77	102	117	43	83	108	59	60
scig1.0024735	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0024734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024725	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0024699	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0024697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024598	0	6	0	13	4	12	5	8	9	11	10	15	8	6	3
scig1.0024588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024553	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0024540	11	3	5	34	8	49	42	11	46	25	5	34	24	5	14
scig1.0024538	0	1	1	0	1	0	0	1	0	0	0	0	0	1	3
scig1.0024537	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
scig1.0024499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024410	0	28	1	32	60	55	23	83	53	9	80	19	9	22	22
scig1.0074709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024376	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
scig1.0024352	1	6	3	16	18	22	14	18	10	15	27	21	15	15	7
scig1.0024319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024290	1	0	0	0	0	1	1	0	1	0	0	4	1	0	0
scig1.0024282	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0
scig1.0052727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024280	0	0	0	6	0	4	1	0	4	0	0	0	1	0	0
scig1.0024267	9	0	2	0	2	8	0	1	0	4	2	23	12	3	11
scig1.0024250	7	17	12	12	14	26	5	16	17	19	15	16	8	17	16
scig1.0024207	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
scig1.0024201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024157	0	0	0	1	1	6	0	0	0	8	1	1	3	4	3
scig1.0024156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024144	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0024142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024131	3	0	5	16	3	52	7	4	23	7	6	20	13	4	6
scig1.0024121	0	0	0	3	0	0	0	0	1	0	0	0	1	0	3
scig1.0024103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024022	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0024021	13	10	18	73	15	116	20	32	40	34	17	50	23	18	17
scig1.0024011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0024009	28	55	9	59	28	95	38	43	47	29	27	32	20	22	16
scig1.0023993	0	4	0	4	4	8	2	3	3	1	4	0	0	0	1
scig1.0023966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023918	0	0	1	0	1	1	1	0	0	0	0	1	0	0	2
scig1.0023904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023895	8	14	5	0	1	0	0	1	0	5	4	3	2	1	1
scig1.0023878	4	0	0	0	4	3	5	0	3	1	0	0	3	1	1
scig1.0023839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023820	89	47	41	198	97	348	115	161	170	99	69	96	86	39	121
scig1.0023785	99	2	26	245	21	843	94	11	90	68	8	43	41	18	64
scig1.0023780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023742	162	101	73	528	148	907	210	164	300	276	123	314	174	148	165
scig1.0023736	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
scig1.0023733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023710	1	0	0	0	3	0	3	0	5	0	3	1	0	1	1
scig1.0023695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023678	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
scig1.0017506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023675	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
scig1.0042870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023638	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1
scig1.0023634	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
scig1.0023611	3	2	2	4	2	6	1	1	3	8	0	8	6	1	4
scig1.0023609	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0
scig1.0023594	2	2	0	4	3	7	3	2	3	4	3	9	3	3	4
scig1.0023585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023564	2	3	1	1	0	1	4	1	3	1	1	4	0	0	0
scig1.0023549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0064813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023548	0	3	2	1	0	3	0	0	1	3	0	4	1	0	1
scig1.0023467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023433	53	13	39	151	39	181	34	14	62	59	50	112	44	26	40
scig1.0023428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023354	31	41	29	258	47	402	77	61	189	97	54	92	43	40	43
scig1.0023317	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1
scig1.0023289	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
scig1.0023286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023266	3	1	0	0	0	4	1	0	0	2	1	1	0	1	0
scig1.0023265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023206	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0
scig1.0023198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023188	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0023183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023162	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0
scig1.0023161	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0023158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023053	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
scig1.0023052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0023032	0	0	0	0	0	2	2	0	0	0	0	1	0	0	1
scig1.0022995	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022924	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0022987	2	3	0	7	2	7	1	3	5	5	3	2	3	3	2
scig1.0022912	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0022906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0037587	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0
scig1.0034623	1	1	1	1	0	2	0	0	0	2	0	5	1	2	1
scig1.0022888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022877	0	5	0	0	0	0	0	2	1	0	1	1	0	0	0
scig1.0022876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022870	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0
scig1.0022864	2	0	2	1	0	1	0	1	3	1	0	0	0	0	2
scig1.0022835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022808	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0022782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022774	0	2	1	1	1	0	1	2	0	1	3	0	0	1	0
scig1.0022758	2	0	2	0	0	6	0	1	4	0	1	1	1	0	2
scig1.0022743	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0
scig1.0022740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022707	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
scig1.0022702	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0022701	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0
scig1.0022658	1	0	0	1	1	0	0	2	0	1	0	2	0	0	1
scig1.0022629	3	4	2	6	1	11	7	4	10	7	3	14	7	10	8
scig1.0022607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022576	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0022548	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
scig1.0022542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022517	0	0	2	0	1	1	1	0	1	0	1	0	0	0	0
scig1.0022515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0031278	0	0	0	0	0	1	1	1	3	0	1	0	1	0	0
scig1.0022488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022442	8	4	7	21	9	42	5	7	9	44	9	95	15	16	5
scig1.0022438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022402	13	8	8	20	13	33	9	7	18	13	16	13	13	6	13
scig1.0027520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022401	0	0	0	0	0	1	0	2	0	0	1	1	1	0	0
scig1.0022364	6	1	3	3	5	5	4	2	4	1	1	6	2	0	1
scig1.0022350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022341	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0
scig1.0022326	4	4	1	7	12	6	4	6	7	2	7	1	1	1	1
scig1.0022314	0	0	0	3	1	1	0	3	4	0	1	0	0	2	1
scig1.0022293	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0022245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022178	3	13	0	34	11	122	16	9	25	13	12	19	8	10	8
scig1.0022173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022131	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
scig1.0022129	1379	419	638	597	705	1017	489	673	564	787	412	869	508	342	474
scig1.0022123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022074	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
scig1.0022065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022055	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1
scig1.0022043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0022005	0	0	0	3	0	1	3	0	2	1	0	0	1	0	0
scig1.0021994	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0021974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021950	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0021945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021932	1	1	0	0	3	0	0	2	0	0	0	0	1	0	0
scig1.0021922	47	27	8	59	40	131	33	38	36	36	31	23	36	32	22
scig1.0021915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021893	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0021836	1	1	0	1	1	0	0	0	2	0	0	2	0	2	0
scig1.0021805	326	21	112	32	21	93	14	21	15	90	10	95	54	14	86
scig1.0021792	1	2	2	4	8	8	4	8	3	3	1	4	6	0	4
scig1.0021767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021726	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0021722	8	4	3	133	21	132	87	18	140	28	7	59	118	45	71
scig1.0021705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021666	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0039583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021647	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0
scig1.0047533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021586	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0021584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021567	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0
scig1.0021564	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
scig1.0021559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0052080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021545	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0021541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021535	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0
scig1.0021504	3	0	0	16	6	8	0	3	9	4	2	7	1	3	2
scig1.0021463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0059686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062624	1	4	1	13	5	12	8	10	6	3	7	6	1	1	2
scig1.0021400	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1
scig1.0021399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021385	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0
scig1.0003858	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0
scig1.0021339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021333	0	0	0	6	2	11	1	0	2	22	0	4	4	3	1
scig1.0021327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0021295	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0071639	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0037285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
